rank,username,followers,engagement_quality,aesthetic_alignment,accessibility,fit_reason,likely_product,audience_overlap,roi_potential,stage,content_style,niche,stories_frequency,emerging_brand_signals,organic_package_repost_likelihood,dm_angle,package,risk_level,source_url
1,@epic_robs,146.8K,"High: Pictame lists 4.47% engagement, daily posting, strong video mix",9,6,"Pokemon collector with lifestyle framing, Game Boy/Pokemon bedside nostalgia, product-unboxing behavior","AR-001 Galaxy tee + stickers","Pokemon collectors, handheld nostalgia, men 18-34 with high collectible appetite",High,rising,"Pokemon collecting, Reels, lifestyle desk/bed setups","Pokemon collector / Nintendo nostalgia","Likely frequent; public source says daily posts","Yes: collector product content and branded event presence","High","your Game Boy/Pokemon desk posts already feel like save files; wanted to send one Action Replay archive object, no pressure to post","Tee, sticker sheet, numbered insert, fake save-file card",Low,https://pictame.com/en/instagram/epic_robs/60408080606
2,@loveretrobtw,66.8K,"Good: retro niche; engagement not independently verified",9,7,"Bio explicitly says retro games, nostalgia, unlocking memories","AR-001 Galaxy tee + poster","Retro gamers who respond emotionally to memory/unlock language",High,underground gem,"Retro gaming memory posts, community nostalgia","Retro gaming / nostalgia","Unverified","Likely; creator has community voice","Medium-high","your bio literally says unlocking memories; this is a tiny physical archive file from a fake cheat-device universe","Tee, poster, code card",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
3,@16_bit_game_beast,73.6K,"Good: niche retro product/feed behavior",8,6,"Nintendo/SNES/Gameboy/Sega content, affiliate product comfort","AR-001 Galaxy tee","Nintendo/Game Boy collectors and product-friendly retro buyers",High,rising,"Retro game product posts and collector content","Nintendo / retro gaming","Unverified","Yes: affiliate/product content listed","Medium-high","saw the Nintendo/Gameboy lane; Action Replay is making a physical file that belongs next to old handheld accessories","Tee + stickers + discount code card",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
4,@gamergirl_clair,45.7K,"Good: PlayStation niche; collab contact listed",8,7,"PlayStation-centered creator with reachable collab signal","Baby tee or AR-001 Galaxy tee","Female gaming/lifestyle audience plus PlayStation nostalgia",High,rising,"PlayStation/gamer lifestyle","PlayStation nostalgia / female gaming","Unverified","Likely; collab email in bio source","High","your PlayStation posts feel like the exact retail era this file came from; can send a small archive package if it fits","Baby tee if available, AR-001, sticker insert",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
5,@spicy.obj,60K,"High cultural fit; direct engagement not verified",10,4,"Happy99 / 3D digital fashion / anime-tech worldbuilding; culturally exact but less reachable","Personalized archive box + poster","Digital fashion, art school, cyber streetwear, anime-internet audience",High,already saturated,"3D fashion, off-kilter modeling, cyber beauty, product/art drops","Digital fashion / cyber streetwear","Unverified","Yes: runs art/clothing store updates","Medium","your Happy99 world made fake digital product feel emotionally real; Action Replay is trying to make an old cheat-device artifact leak into clothing","Personalized artifact box, poster, tee, handwritten build note",Medium,https://www.famousbirthdays.com/people/nathalie-nguyen.html
6,@fashion.elitist,145.4K,"Strong: Influize reports 7.13% ER; Socialveins confirms 145.4K",8,5,"Streetwear critic/stylist with anti-polish taste; good for credibility if he likes it","AR-001 Galaxy tee","Menswear/streetwear audience that values taste and silhouette",High,rising,"Outfits, styling critique, fashion discourse","Streetwear / fashion critic","Unverified","Likely selective; has brand/creator ecosystem","Medium","this is not a normal graphic tee pitch; it is a failed accessory-company file turned garment, and I think the silhouette/archive logic may interest you","Tee only first; ask before larger box",Medium,https://socialveins.com/influencer/instagram/fashion.elitist
7,@dorianlizaleunig,114.5K,"High: SocialBlade lists 3.02% ER and avg 3.4K likes",8,5,"Berlin streetwear visual account; strong fit conversion potential but probably rate-carded","AR-001 Galaxy tee","European streetwear audience; Scuffers/Cold Culture-adjacent buyer pattern",High,rising,"Streetwear fits, Berlin styling","Mens streetwear","Unverified","Likely; creator/fit feed","Medium","your feed has the right empty-space streetwear feeling; this tee is stranger, more artifact than logo","Tee + clean product note",Medium,https://socialblade.com/instagram/user/dorianlizaleunig
8,@cherrypop.gal,48.8K,"Good: +11% two-month growth per Feedspot",9,7,"Gyaru model with strong 2000s/fashion overlap","Baby tee, poster, stickers","Female Y2K/gyaru audience likely to buy baby tees, accessories, visual drops",High,rising,"Gyaru fashion/modeling","Gyaru / Y2K / J-fashion","Unverified","Likely; model/fashion profile","High","your gyaru styling already lives in the exact era we are archiving; wanted to send one weird Action Replay file, not a normal PR box","Baby tee, sticker sheet, mini poster",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
9,@cottontailcircus,48K,"Good: +7% two-month growth per Feedspot",9,7,"Fashion designer/seamstress/clown/gyaru specificity; strong handmade-world resonance","Baby tee + stickers","DIY fashion and gyaru audience; likely strong save/share if package feels personal",High,underground gem,"Handmade fashion, gyaru, character styling","Gyaru / DIY fashion","Unverified","Yes: designer/creator orientation","High","your page has the handmade-specific kind of weirdness this brand needs; can send a small corrupted accessory-company package","Baby tee, stickers, defect-label card",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
10,@retrogame.evo,15.7K,"Good: focused handheld modding/customization niche",9,8,"Modding/custom handheld audience maps directly to Action Replay cartridge logic","AR-001 Galaxy tee + stickers","Handheld modders, Game Boy/DS collectors, physical tech collectors",High,underground gem,"Handheld mods, 3D printing, retro customization","Handheld modding","Unverified","Likely; maker/product niche","High","your handheld mod posts are basically Action Replay relatives; would send one tee as if it came from a dead accessory company","Tee, stickers, fake cartridge card",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
